month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-12-01,B DIVISION,N,peak,"2,978,124.5","1.5859555","0.77863514","4,723,173","2,318,872.2","581,378.94",19.521646%,80.47835%
2024-12-01,B DIVISION,Q,offpeak,"3,273,206.8","1.489177","0.7693328","4,874,384","2,518,185.2","711,102.25",21.724942%,78.27506%
2024-12-01,B DIVISION,Q,peak,"3,641,934.2","1.5595517","1.1343263","5,679,784.5","4,131,142","838,218.8",23.01576%,76.98424%
2024-12-01,B DIVISION,R,offpeak,"3,487,791.5","2.1356428","0.12155514","7,448,676.5","423,959","810,239.44",23.23073%,76.76927%
2024-12-01,B DIVISION,R,peak,"4,011,274","2.3063462","0.042992104","9,251,386","172,453.12","920,945.7",22.958931%,77.041066%
2024-12-01,B DIVISION,S Fkln,offpeak,"194,860.36","0.220359","0.041960016","42,939.234","8,176.3438","6,360.0054",3.2638784%,96.73612%
2024-12-01,B DIVISION,S Fkln,peak,"194,189.34","0.5707303","0.057167325","110,829.74","11,101.285","9,461.589",4.8723523%,95.12765%
2024-12-01,B DIVISION,S Rock,offpeak,"26,513.352","1.2623241","-0.90806454","33,468.44","-24,075.834","3,445.474",12.995242%,87.004757%
2024-12-01,B DIVISION,S Rock,peak,"19,257.482","0.8787027","-1.183044","16,921.602","-22,782.447","1,812.6135",9.412515%,90.587485%
2024-12-01,B DIVISION,W,offpeak,"1,265,461.6","0.9385583","0.2576316","1,187,709.5","326,022.94","142,330.02",11.2472795%,88.75272%
2024-12-01,B DIVISION,W,peak,"1,560,615.4","1.0150304","0.01021146","1,584,072.1","15,936.161","157,289.64",10.078694%,89.92131%
2024-11-01,A DIVISION,"1",offpeak,"5,068,791.5","0.9363785","0.74850494","4,746,307.5","3,794,015.5","586,549.44",11.571781%,88.42822%
2024-11-01,A DIVISION,"1",peak,"5,383,264","0.90336776","0.6391812","4,863,067","3,440,881","505,691.5",9.393771%,90.60623%
2024-11-01,A DIVISION,"2",offpeak,"3,032,113.5","1.5831995","0.6436474","4,800,440.5","1,951,611.9","539,822.3",17.8035%,82.1965%
2024-11-01,A DIVISION,"2",peak,"3,525,870.8","1.4489627","0.47885892","5,108,855","1,688,394.6","468,153.22",13.277663%,86.72234%
2024-11-01,A DIVISION,"3",offpeak,"2,387,332.2","0.93723935","0.47048602","2,237,501.5","1,123,206.4","303,043.7",12.693821%,87.30618%
2024-11-01,A DIVISION,"3",peak,"2,725,367","0.97152644","0.4645536","2,647,766","1,266,079","293,893.03",10.7836135%,89.21639%
2024-11-01,A DIVISION,"4",offpeak,"3,890,383","0.9442483","0.47285518","3,673,487.5","1,839,587.8","500,179.34",12.856814%,87.14318%
2024-11-01,A DIVISION,"4",peak,"4,055,560.8","0.9437293","0.37531948","3,827,351.5","1,522,131","439,218.62",10.830034%,89.16997%
2024-11-01,A DIVISION,"5",offpeak,"2,767,408.2","1.4020407","0.5392692","3,880,019","1,492,378","401,939.78",14.52405%,85.47595%
2024-11-01,A DIVISION,"5",peak,"3,498,391","1.2329745","0.14479417","4,313,427","506,546.6","400,567.4",11.450047%,88.549954%
2024-11-01,A DIVISION,"6",offpeak,"5,244,800.5","1.1911042","0.7499188","6,247,104","3,933,174.5","698,871.3",13.325033%,86.67497%
2024-11-01,A DIVISION,"6",peak,"5,714,858","1.2482073","0.82381856","7,133,327.5","4,708,006","774,297.5",13.54885%,86.45115%
2024-11-01,A DIVISION,"7",offpeak,"4,140,123","0.8517269","0.5469394","3,526,254","2,264,396.5","454,534.78",10.978775%,89.021224%
2024-11-01,A DIVISION,"7",peak,"4,577,398","0.7711771","0.39324623","3,529,984.5","1,800,044.6","350,618.22",7.659771%,92.34023%
2024-11-01,A DIVISION,S 42nd,offpeak,"374,035.88","0.64543056","-0.11320886","241,414.19","-42,344.176","9,659.524",2.5825128%,97.417486%
2024-11-01,A DIVISION,S 42nd,peak,"467,627.34","0.43398687","-0.12632993","202,944.12","-59,075.33","2,190.4287",0.4684133%,99.531585%
2024-11-01,B DIVISION,A,offpeak,"3,745,645","2.116199","1.1853607","7,926,530","4,439,940","836,407.6",22.330137%,77.669865%
2024-11-01,B DIVISION,A,peak,"4,504,196","2.232473","0.91271836","10,055,496","4,111,062.5","772,755.44",17.156345%,82.843655%
2024-11-01,B DIVISION,B,offpeak,"1,991,854.5","2.0842826","0.9307903","4,151,588","1,853,998.9","457,962.12",22.991745%,77.008253%
2024-11-01,B DIVISION,B,peak,"2,732,252.2","2.5050175","1.2451894","6,844,340","3,402,171.5","687,793.6",25.17314%,74.82686%
2024-11-01,B DIVISION,C,offpeak,"2,727,069","2.2487423","0.8726493","6,132,475.5","2,379,774.8","512,904.66",18.80791%,81.19209%
2024-11-01,B DIVISION,C,peak,"2,244,385.8","2.4063299","0.6237622","5,400,733","1,399,963","381,217.9",16.9854%,83.0146%
2024-11-01,B DIVISION,D,offpeak,"3,160,868.5","1.9992212","1.199888","6,319,275","3,792,688.2","764,057.1",24.172379%,75.82762%
2024-11-01,B DIVISION,D,peak,"2,811,066","2.3674817","1.3495898","6,655,148","3,793,786.2","689,887.94",24.541861%,75.45814%
2024-11-01,B DIVISION,E,offpeak,"3,629,262","1.5103679","0.36684808","5,481,521","1,331,387.9","601,842.3",16.58305%,83.41695%
2024-11-01,B DIVISION,E,peak,"3,947,307.8","1.5456132","-0.38543588","6,101,010.5","-1,521,434","493,679.3",12.506735%,87.493265%
2024-11-01,B DIVISION,F,offpeak,"4,318,250.5","1.7744378","0.28597668","7,662,467","1,234,919","916,975.2",21.234876%,78.765124%
2024-11-01,B DIVISION,F,peak,"4,711,591.5","1.5931323","-0.33104733","7,506,188.5","-1,559,759.8","716,833.56",15.214255%,84.78574%
2024-11-01,B DIVISION,G,offpeak,"1,334,406","1.1082351","0.91551983","1,478,835.6","1,221,675.1","219,724.14",16.466063%,83.533937%
